latitude,longitude,point_number
67.81381381381381,43.26605504587156,531
67.82982982982983,43.26605504587156,532
67.84584584584584,43.26605504587156,533
67.86186186186187,43.26605504587156,534
67.87787787787788,43.26605504587156,535
67.89389389389389,43.26605504587156,536
67.90990990990991,43.26605504587156,537
67.92592592592592,43.26605504587156,538
67.94194194194195,43.26605504587156,539
67.95795795795796,43.26605504587156,540
67.97397397397397,43.26605504587156,541
67.98998998999,43.26605504587156,542
68.006006006006,43.26605504587156,543
68.02202202202203,43.26605504587156,544
68.03803803803804,43.26605504587156,545
68.05405405405405,43.26605504587156,546
68.07007007007007,43.26605504587156,547
68.08608608608608,43.26605504587156,548
68.10210210210211,43.26605504587156,549
68.11811811811812,43.26605504587156,550
68.13413413413413,43.26605504587156,551
68.15015015015015,43.26605504587156,552
68.16616616616616,43.26605504587156,553
68.18218218218219,43.26605504587156,554
68.1981981981982,43.26605504587156,555
68.21421421421421,43.26605504587156,556
68.23023023023023,43.26605504587156,557
68.24624624624624,43.26605504587156,558
68.26226226226227,43.26605504587156,559
68.27827827827828,43.26605504587156,560
68.29429429429429,43.26605504587156,561
68.31031031031031,43.26605504587156,562
68.32632632632632,43.26605504587156,563
68.34234234234235,43.26605504587156,564
68.35835835835836,43.26605504587156,565
68.37437437437437,43.26605504587156,566
68.3903903903904,43.26605504587156,567
68.4064064064064,43.26605504587156,568
68.42242242242243,43.26605504587156,569
68.43843843843844,43.26605504587156,570
68.45445445445445,43.26605504587156,571
68.47047047047047,43.26605504587156,572
68.48648648648648,43.26605504587156,573
68.50250250250251,43.26605504587156,574
68.51851851851852,43.26605504587156,575
68.53453453453453,43.26605504587156,576
68.55055055055055,43.26605504587156,577
68.56656656656656,43.26605504587156,578
68.58258258258259,43.22268557130943,579
68.5985985985986,43.22268557130943,580
68.61461461461461,43.22268557130943,581
68.63063063063063,43.22268557130943,582
68.64664664664664,43.22268557130943,583
68.66266266266267,43.26605504587156,584
68.67867867867868,43.309424520433694,585
68.69469469469469,43.35279399499583,586
68.71071071071071,43.35279399499583,587
68.72672672672672,43.35279399499583,588
68.74274274274275,43.39616346955796,589
68.75875875875876,43.39616346955796,590
68.77477477477477,43.39616346955796,591
68.7907907907908,43.39616346955796,592
68.8068068068068,43.39616346955796,593
68.82282282282283,43.39616346955796,594
68.83883883883884,43.39616346955796,595
68.85485485485485,43.39616346955796,596
68.87087087087087,43.4395329441201,597
68.88688688688688,43.4395329441201,598
68.90290290290291,43.4395329441201,599
68.91891891891892,43.4395329441201,600
68.93493493493493,43.4395329441201,601
68.95095095095095,43.4395329441201,602
68.96696696696696,43.4395329441201,603
68.98298298298299,43.4395329441201,604
68.998998998999,43.4395329441201,605
69.01501501501501,43.48290241868224,606
69.03103103103103,43.48290241868224,607
69.04704704704704,43.48290241868224,608
69.06306306306307,43.48290241868224,609
69.07907907907908,43.48290241868224,610
69.09509509509509,43.48290241868224,611
69.11111111111111,43.48290241868224,612
69.12712712712712,43.48290241868224,613
69.14314314314315,43.48290241868224,614
69.15915915915916,43.52627189324437,615
69.17517517517517,43.52627189324437,616
69.1911911911912,43.52627189324437,617
69.2072072072072,43.52627189324437,618
69.22322322322323,43.52627189324437,619
69.23923923923924,43.569641367806504,620
69.25525525525525,43.569641367806504,621
69.27127127127127,43.61301084236864,622
69.28728728728728,43.65638031693078,623
69.30330330330331,43.65638031693078,624
69.31931931931932,43.69974979149291,625
69.33533533533533,43.74311926605505,626
69.35135135135135,43.74311926605505,627
69.36736736736736,43.78648874061718,628
69.38338338338339,43.78648874061718,629
69.3993993993994,43.829858215179314,630
69.41541541541541,43.873227689741455,631
69.43143143143143,43.873227689741455,632
69.44744744744744,43.91659716430359,633
69.46346346346347,43.95996663886572,634
69.47947947947948,43.95996663886572,635
69.49549549549549,44.003336113427856,636
69.51151151151151,44.04670558798999,637
69.52752752752752,44.04670558798999,638
69.54354354354355,44.09007506255213,639
69.55955955955956,44.13344453711426,640
69.57557557557557,44.13344453711426,641
69.5915915915916,44.1768140116764,642
69.6076076076076,44.22018348623853,643
